,Bybit_ask,Bybit_bid,Bybit_tiker,Binance_ask,Binance_bid,Binance_tiker,Coinbase Pro_ask,Coinbase Pro_bid,Coinbase Pro_tiker,FTX_ask,FTX_bid,FTX_tiker,,,,,,,,,,,,
2022/2/7 19:25:17,0.341395411,0.658604589,42444,0.145010836,0.854989164,42473.56,0.370885876,0.629114124,42471.43,0.343667907,0.656332093,42466,,,,,,,,,,,,
2022/2/7 19:25:25,0.017414182,0.982585818,42473,0.069574569,0.930425431,42493.63,0.371119245,0.628880755,42492.53,0.64766104,0.35233896,42495,,,,,,,,,,,,
2022/2/7 19:25:34,0.397631443,0.602368557,42467,0.775854558,0.224145442,42489.15,0.483303999,0.516696001,42475.42,0.470393893,0.529606107,42488,,,,,,,,,,,,
2022/2/7 19:25:42,0.897552909,0.102447091,42454,0.38618267,0.61381733,42467.1,0.60174428,0.39825572,42473.3,0.497667512,0.502332488,42468,,,,,,,,,,,,
2022/2/7 19:25:51,0.755749993,0.244250007,42453.5,0.502022516,0.497977484,42470,0.62673814,0.37326186,42473.3,0.512295504,0.487704496,42468,,,,,,,,,,,,
2022/2/7 19:25:59,0.715216781,0.284783219,42454,0.144524997,0.855475003,42472.02,0.653616324,0.346383676,42472.28,0.569607532,0.430392468,42468,,,,,,,,,,,,
2022/2/7 19:26:07,0.693753219,0.306246781,42453.5,0.377621894,0.622378106,42476.71,0.35043624,0.64956376,42472.28,0.328681867,0.671318133,42485,,,,,,,,,,,,
2022/2/7 19:26:15,0.246499194,0.753500806,42462,0.536375256,0.463624744,42488.37,0.620298596,0.379701404,42472.28,0.432764513,0.567235487,42481,,,,,,,,,,,,
2022/2/7 19:26:24,0.006958482,0.993041518,42463,0.373608909,0.626391091,42499.99,0.596404218,0.403595782,42472.28,0.649842022,0.350157978,42499,,,,,,,,,,,,
2022/2/7 19:26:32,0.280567429,0.719432571,42475.5,0.25117941,0.74882059,42500,0.446743056,0.553256944,42472.28,0.388626071,0.611373929,42499,,,,,,,,,,,,
2022/2/7 19:26:42,0.322062703,0.677937297,42476,0.801132125,0.198867875,42503.42,0.517389616,0.482610384,42483.24,0.47819161,0.52180839,42498,,,,,,,,,,,,
2022/2/7 19:26:50,0.278865446,0.721134554,42475.5,0.086021976,0.913978024,42505,0.453741325,0.546258675,42485.37,0.316886329,0.683113671,42498,,,,,,,,,,,,
2022/2/7 19:26:59,0.351022123,0.648977877,42476,0.749195298,0.250804702,42490.12,0.446295965,0.553704035,42496.61,0.325748151,0.674251849,42510,,,,,,,,,,,,
2022/2/7 19:27:07,0.623602269,0.376397731,42475.5,0.837511211,0.162488789,42498.87,0.47896146,0.52103854,42483.65,0.262035763,0.737964237,42495,,,,,,,,,,,,
2022/2/7 19:27:16,0.415475903,0.584524097,42476,0.751496551,0.248503449,42504.71,0.376365474,0.623634526,42483.65,0.336459101,0.663540899,42496,,,,,,,,,,,,
2022/2/7 19:27:24,0.342093433,0.657906567,42475.5,0.407024513,0.592975487,42505.22,0.422785041,0.577214959,42508.5,0.220559536,0.779440464,42510,,,,,,,,,,,,
2022/2/7 19:27:32,0.524059004,0.475940996,42475.5,0.734410055,0.265589945,42496.02,0.487136784,0.512863216,42508.5,0.319971794,0.680028206,42502,,,,,,,,,,,,
2022/2/7 19:27:41,0.417944239,0.582055761,42475.5,0.356361113,0.643638887,42500.33,0.398849299,0.601150701,42502.81,0.386052796,0.613947204,42500,,,,,,,,,,,,
2022/2/7 19:27:50,0.41133405,0.58866595,42476,0.418693987,0.581306013,42503.46,0.476452237,0.523547763,42502.81,0.225021825,0.774978175,42503,,,,,,,,,,,,
2022/2/7 19:27:58,0.383567465,0.616432535,42475.5,0.77921297,0.22078703,42506.01,0.574089246,0.425910754,42502.81,0.421820518,0.578179482,42503,,,,,,,,,,,,
2022/2/7 19:28:06,0.285302515,0.714697485,42475.5,0.021181984,0.978818016,42514.37,0.536177561,0.463822439,42502.81,0.283668436,0.716331564,42515,,,,,,,,,,,,
2022/2/7 19:28:15,0.174627455,0.825372545,42476,0.748603919,0.251396081,42519.7,0.490063996,0.509936004,42502.81,0.217106631,0.782893369,42515,,,,,,,,,,,,
2022/2/7 19:28:24,0.048762316,0.951237684,42486.5,0.384739288,0.615260712,42526.62,0.453165141,0.546834859,42502.81,0.184521081,0.815478919,42525,,,,,,,,,,,,
2022/2/7 19:28:32,0.89774222,0.10225778,42476,0.635466569,0.364533431,42491.01,0.609339681,0.390660319,42484.42,0.316663625,0.683336375,42488,,,,,,,,,,,,
2022/2/7 19:28:40,0.684077205,0.315922795,42463,0.47870308,0.52129692,42470.73,0.538401404,0.461598596,42484.42,0.484495884,0.515504116,42471,,,,,,,,,,,,
2022/2/7 19:28:48,0.768887906,0.231112094,42451.5,0.828223165,0.171776835,42471.01,0.646598989,0.353401011,42484.42,0.29017008,0.70982992,42470,,,,,,,,,,,,
2022/2/7 19:28:56,0.768953117,0.231046883,42451,0.304554296,0.695445704,42481.88,0.632755561,0.367244439,42484.42,0.431908716,0.568091284,42471,,,,,,,,,,,,
2022/2/7 19:29:05,0.174010215,0.825989785,42462.5,0.393856599,0.606143401,42502.47,0.351293974,0.648706026,42484.42,0.28922599,0.71077401,42495,,,,,,,,,,,,
2022/2/7 19:29:13,0.543275462,0.456724538,42471,0.446610784,0.553389216,42490.77,0.480159874,0.519840126,42487.45,0.381822101,0.618177899,42496,,,,,,,,,,,,
2022/2/7 19:29:22,0.38373768,0.61626232,42471,0.588732416,0.411267584,42498.32,0.537686671,0.462313329,42487.44,0.422297129,0.577702871,42493,,,,,,,,,,,,
2022/2/7 19:29:30,0.399945625,0.600054375,42471,0.848448394,0.151551606,42498.33,0.565759303,0.434240697,42502.36,0.266758577,0.733241423,42493,,,,,,,,,,,,
2022/2/7 19:29:38,0.407858222,0.592141778,42471.5,0.792745073,0.207254927,42498.32,0.565749082,0.434250918,42502.36,0.152421506,0.847578494,42492,,,,,,,,,,,,
2022/2/7 19:29:47,0.851486964,0.148513036,42471,0.589886446,0.410113554,42486.17,0.595123371,0.404876629,42502.36,0.226598284,0.773401716,42484,,,,,,,,,,,,
2022/2/7 19:29:56,0.077640271,0.922359729,42456,0.267672882,0.732327118,42495.44,0.514280633,0.485719367,42470.3,0.298199768,0.701800232,42481,,,,,,,,,,,,
2022/2/7 19:30:05,0.19353139,0.80646861,42465,0.316939167,0.683060833,42495.45,0.531764738,0.468235262,42490.88,0.39329666,0.60670334,42497,,,,,,,,,,,,
2022/2/7 19:30:13,0.092914869,0.907085131,42471.5,0.484332991,0.515667009,42503.48,0.450632844,0.549367156,42490.88,0.468445766,0.531554234,42500,,,,,,,,,,,,
2022/2/7 19:30:22,0.158328748,0.841671252,42471,0.128474305,0.871525695,42503.48,0.496956379,0.503043621,42490.88,0.354801996,0.645198004,42498,,,,,,,,,,,,
2022/2/7 19:30:30,0.125745052,0.874254948,42471.5,0.251940803,0.748059197,42503.65,0.431221604,0.568778396,42490.88,0.317364713,0.682635287,42498,,,,,,,,,,,,
2022/2/7 19:30:39,0.149574636,0.850425364,42471.5,0.134684874,0.865315126,42503.48,0.521963195,0.478036805,42490.88,0.554156446,0.445843554,42497,,,,,,,,,,,,
2022/2/7 19:30:49,0.128475479,0.871524521,42481.5,0.728111123,0.271888877,42515.66,0.45049627,0.54950373,42490.88,0.428680898,0.571319102,42505,,,,,,,,,,,,
2022/2/7 19:30:57,0.190376685,0.809623315,42481,0.710704862,0.289295138,42513.33,0.408029621,0.591970379,42490.88,0.375490221,0.624509779,42505,,,,,,,,,,,,
2022/2/7 19:31:05,0.249631623,0.750368377,42481.5,0.724112651,0.275887349,42509.64,0.547137136,0.452862864,42490.88,0.245924995,0.754075005,42505,,,,,,,,,,,,
2022/2/7 19:31:13,0.240401161,0.759598839,42481.5,0.300441677,0.699558323,42509.65,0.691311831,0.308688169,42492.9,0.351876305,0.648123695,42500,,,,,,,,,,,,
2022/2/7 19:31:22,0.508379087,0.491620913,42481.5,0.911315233,0.088684767,42508.96,0.345149505,0.654850495,42495.95,0.3690559,0.6309441,42503,,,,,,,,,,,,
2022/2/7 19:31:31,0.459908196,0.540091804,42481,0.794016269,0.205983731,42505.78,0.575782919,0.424217081,42495.95,0.344505246,0.655494754,42500,,,,,,,,,,,,
2022/2/7 19:31:39,0.306794895,0.693205105,42481.5,0.666480984,0.333519016,42509.37,0.591893916,0.408106084,42495.95,0.461963795,0.538036205,42500,,,,,,,,,,,,
2022/2/7 19:31:47,0.075754287,0.924245713,42481.5,0.787929808,0.212070192,42515.63,0.526367249,0.473632751,42495.95,0.463540875,0.536459125,42511,,,,,,,,,,,,
2022/2/7 19:31:55,0.160534095,0.839465905,42481.5,0.074589842,0.925410158,42510.17,0.475269664,0.524730336,42495.95,0.310144472,0.689855528,42511,,,,,,,,,,,,
2022/2/7 19:32:05,0.334424422,0.665575578,42482,0.384959059,0.615040941,42501.71,0.574047862,0.425952138,42511.06,0.368390038,0.631609962,42500,,,,,,,,,,,,
2022/2/7 19:32:13,0.185672809,0.814327191,42486,0.829130082,0.170869918,42514.52,0.518002854,0.481997146,42508.03,0.295624031,0.704375969,42511,,,,,,,,,,,,
2022/2/7 19:32:21,0.667218867,0.332781133,42509,0.731360564,0.268639436,42525.7,0.506772151,0.493227849,42522.56,0.299201456,0.700798544,42528,,,,,,,,,,,,
2022/2/7 19:32:30,0.481708824,0.518291176,42508.5,0.887194341,0.112805659,42526.01,0.566655274,0.433344726,42522.56,0.153688845,0.846311155,42521,,,,,,,,,,,,
2022/2/7 19:32:39,0.532448158,0.467551842,42531,0.573990963,0.426009037,42545.94,0.331245616,0.668754384,42549.53,0.278219647,0.721780353,42537,,,,,,,,,,,,
2022/2/7 19:32:48,0.713894293,0.286105707,42528.5,0.228468008,0.771531992,42542.06,0.361423388,0.638576612,42549.53,0.241487863,0.758512137,42545,,,,,,,,,,,,
2022/2/7 19:32:56,0.495295194,0.504704806,42528,0.683298692,0.316701308,42545.17,0.560579479,0.439420521,42549.53,0.25392816,0.74607184,42544,,,,,,,,,,,,
2022/2/7 19:33:05,0.792826093,0.207173907,42528,0.789680607,0.210319393,42542.24,0.619307481,0.380692519,42549.53,0.477590599,0.522409401,42542,,,,,,,,,,,,
2022/2/7 19:33:13,0.472606397,0.527393603,42520.5,0.696321163,0.303678837,42542.24,0.196840234,0.803159766,42531.24,0.302045998,0.697954002,42547,,,,,,,,,,,,
2022/2/7 19:33:22,0.262388941,0.737611059,42520,0.361580787,0.638419213,42545.46,0.518127455,0.481872545,42531.24,0.373434579,0.626565421,42547,,,,,,,,,,,,
2022/2/7 19:33:30,0.279004102,0.720995898,42535,0.820884132,0.179115868,42551.39,0.683959727,0.316040273,42546.53,0.088270895,0.911729105,42556,,,,,,,,,,,,
2022/2/7 19:33:39,0.550416357,0.449583643,42545,0.509252182,0.490747818,42557.6,0.519177765,0.480822235,42546.53,0.227175956,0.772824044,42556,,,,,,,,,,,,
2022/2/7 19:33:48,0.714758453,0.285241547,42544.5,0.093346594,0.906653406,42559.65,0.634787571,0.365212429,42554.32,0.167004513,0.832995487,42555,,,,,,,,,,,,
2022/2/7 19:33:56,0.670512153,0.329487847,42544.5,0.810561579,0.189438421,42555.5,0.546821446,0.453178554,42554.32,0.064438661,0.935561339,42555,,,,,,,,,,,,
2022/2/7 19:34:05,0.706874938,0.293125062,42544.5,0.468803296,0.531196704,42556.73,0.486292312,0.513707688,42554.32,0.492945671,0.507054329,42555,,,,,,,,,,,,
2022/2/7 19:34:14,0.696514907,0.303485093,42545,0.357343293,0.642656707,42556.76,0.47128778,0.52871222,42554.32,0.403307221,0.596692779,42555,,,,,,,,,,,,
2022/2/7 19:34:23,0.74614225,0.25385775,42544.5,0.354417805,0.645582195,42557.41,0.491008984,0.508991016,42554.32,0.4157426,0.5842574,42559,,,,,,,,,,,,
2022/2/7 19:34:32,0.758033909,0.241966091,42545,0.213797921,0.786202079,42555.51,0.527722835,0.472277165,42546.91,0.473751988,0.526248012,42559,,,,,,,,,,,,
2022/2/7 19:34:41,0.775081552,0.224918448,42544.5,0.462033257,0.537966743,42551.39,0.413857189,0.586142811,42546.08,0.114109124,0.885890876,42554,,,,,,,,,,,,
2022/2/7 19:34:49,0.432368396,0.567631604,42544.5,0.522484939,0.477515061,42564.95,0.545702714,0.454297286,42569.46,0.089741252,0.910258748,42566,,,,,,,,,,,,
2022/2/7 19:34:57,0.266289022,0.733710978,42571,0.579250484,0.420749516,42590.8,0.413154279,0.586845721,42577.55,0.49160551,0.50839449,42583,,,,,,,,,,,,
2022/2/7 19:35:06,0.787053655,0.212946345,42545,0.720365686,0.279634314,42550.01,0.551480124,0.448519876,42581.22,0.513103699,0.486896301,42555,,,,,,,,,,,,
2022/2/7 19:35:15,0.788352384,0.211647616,42545,0.208321518,0.791678482,42553.35,0.625346198,0.374653802,42548.78,0.493683251,0.506316749,42550,,,,,,,,,,,,
2022/2/7 19:35:24,0.888078613,0.111921387,42543.5,0.833776585,0.166223415,42550,0.571762723,0.428237277,42549.25,0.392660053,0.607339947,42548,,,,,,,,,,,,
2022/2/7 19:35:32,0.766179775,0.233820225,42543,0.450045205,0.549954795,42550.3,0.478646985,0.521353015,42559.12,0.585529517,0.414470483,42555,,,,,,,,,,,,
2022/2/7 19:35:40,0.75270899,0.24729101,42539,0.330607948,0.669392052,42551.99,0.538884451,0.461115549,42559.12,0.443627079,0.556372921,42555,,,,,,,,,,,,
2022/2/7 19:35:49,0.641180462,0.358819538,42538.5,0.821293996,0.178706004,42560,0.567443908,0.432556092,42538.79,0.580500327,0.419499673,42557,,,,,,,,,,,,
2022/2/7 19:35:57,0.261706164,0.738293836,42539,0.793191526,0.206808474,42559.99,0.498266456,0.501733544,42538.79,0.59447314,0.40552686,42557,,,,,,,,,,,,
2022/2/7 19:36:06,0.572919575,0.427080425,42539,0.864651445,0.135348555,42540.01,0.465648702,0.534351298,42541.39,0.505735449,0.494264551,42542,,,,,,,,,,,,
2022/2/7 19:36:16,0.631143763,0.368856237,42531,0.702538954,0.297461046,42546.6,0.546754757,0.453245243,42544.27,0.393092391,0.606907609,42547,,,,,,,,,,,,
2022/2/7 19:36:25,0.670812918,0.329187082,42531,0.734333996,0.265666004,42543.02,0.503972966,0.496027034,42550.18,0.513318698,0.486681302,42542,,,,,,,,,,,,
2022/2/7 19:36:34,0.303212148,0.696787852,42531,0.217848679,0.782151321,42560,0.395260725,0.604739275,42550.18,0.525112944,0.474887056,42565,,,,,,,,,,,,
2022/2/7 19:36:42,0.18862525,0.81137475,42539,0.180398457,0.819601543,42566,0.476093698,0.523906302,42550.18,0.524072655,0.475927345,42563,,,,,,,,,,,,
2022/2/7 19:36:50,0.250605625,0.749394375,42549.5,0.592652582,0.407347418,42553.24,0.338010623,0.661989377,42550.18,0.354868167,0.645131833,42562,,,,,,,,,,,,
2022/2/7 19:36:59,0.695324414,0.304675586,42549.5,0.864355707,0.135644293,42558.76,0.548141757,0.451858243,42550.18,0.330196304,0.669803696,42552,,,,,,,,,,,,
2022/2/7 19:37:07,0.612887196,0.387112804,42549.5,0.14367266,0.85632734,42564.99,0.415111739,0.584888261,42550.18,0.494497352,0.505502648,42567,,,,,,,,,,,,
2022/2/7 19:37:16,0.359936584,0.640063416,42549.5,0.669108317,0.330891683,42563.58,0.398129609,0.601870391,42550.18,0.497092974,0.502907026,42562,,,,,,,,,,,,
2022/2/7 19:37:24,0.537497208,0.462502792,42550,0.414892235,0.585107765,42560.69,0.337462198,0.662537802,42560.3,0.308232923,0.691767077,42557,,,,,,,,,,,,
2022/2/7 19:37:32,0.753394956,0.246605044,42550,0.963342496,0.036657504,42550.04,0.419267465,0.580732535,42560.3,0.681046884,0.318953116,42557,,,,,,,,,,,,
2022/2/7 19:37:41,0.72234356,0.27765644,42536.5,0.827747953,0.172252047,42546.18,0.481114838,0.518885162,42560.3,0.669881478,0.330118522,42550,,,,,,,,,,,,
2022/2/7 19:37:49,0.514668082,0.485331918,42537,0.644936279,0.355063721,42553.59,0.418440763,0.581559237,42560.3,0.466209476,0.533790524,42551,,,,,,,,,,,,
2022/2/7 19:37:57,0.610947442,0.389052558,42536.5,0.732347874,0.267652126,42550.4,0.565606245,0.434393755,42560.3,0.503390053,0.496609947,42557,,,,,,,,,,,,
2022/2/7 19:38:05,0.605650561,0.394349439,42536.5,0.507658518,0.492341482,42552.68,0.499286772,0.500713228,42560.3,0.429521198,0.570478802,42550,,,,,,,,,,,,
2022/2/7 19:38:14,0.621827821,0.378172179,42536.5,0.584985574,0.415014426,42547.53,0.507173961,0.492826039,42560.3,0.486699874,0.513300126,42550,,,,,,,,,,,,
2022/2/7 19:38:23,0.62684891,0.37315109,42536.5,0.444739565,0.555260435,42548.89,0.557334023,0.442665977,42560.3,0.236734485,0.763265515,42550,,,,,,,,,,,,
2022/2/7 19:38:32,0.611769607,0.388230393,42537,0.644260239,0.355739761,42550,0.505473154,0.494526846,42560.3,0.527668334,0.472331666,42550,,,,,,,,,,,,
2022/2/7 19:38:42,0.650456138,0.349543862,42536.5,0.669157944,0.330842056,42543.02,0.575351669,0.424648331,42554.64,0.616560165,0.383439835,42542,,,,,,,,,,,,
2022/2/7 19:38:50,0.65726227,0.34273773,42536.5,0.405999508,0.594000492,42546.3,0.593464823,0.406535177,42545.03,0.400866373,0.599133627,42550,,,,,,,,,,,,
2022/2/7 19:38:59,0.317078762,0.682921238,42536.5,0.574870634,0.425129366,42560,0.422840657,0.577159343,42545.03,0.471945375,0.528054625,42556,,,,,,,,,,,,
2022/2/7 19:39:08,0.064805852,0.935194148,42536.5,0.634836798,0.365163202,42569.94,0.503202647,0.496797353,42560.15,0.394757174,0.605242826,42573,,,,,,,,,,,,
2022/2/7 19:39:16,0.283337971,0.716662029,42536.5,0.281660417,0.718339583,42552.76,0.508423783,0.491576217,42551.99,0.363904104,0.636095896,42562,,,,,,,,,,,,
2022/2/7 19:39:25,0.552781551,0.447218449,42536.5,0.383240758,0.616759242,42552.34,0.511834288,0.488165712,42551.99,0.402841809,0.597158191,42562,,,,,,,,,,,,
2022/2/7 19:39:33,0.555418688,0.444581312,42537,0.460743046,0.539256954,42552.33,0.515977913,0.484022087,42551.99,0.375769681,0.624230319,42551,,,,,,,,,,,,
2022/2/7 19:39:41,0.611097872,0.388902128,42537,0.332555032,0.667444968,42553.7,0.542850768,0.457149232,42554.02,0.418216071,0.581783929,42551,,,,,,,,,,,,
2022/2/7 19:39:50,0.603772609,0.396227391,42536.5,0.304856678,0.695143322,42551.09,0.427010777,0.572989223,42554.02,0.360820445,0.639179555,42551,,,,,,,,,,,,
2022/2/7 19:39:58,0.605223124,0.394776876,42536.5,0.094080456,0.905919544,42552.76,0.500146631,0.499853369,42554.02,0.367965867,0.632034133,42550,,,,,,,,,,,,
2022/2/7 19:40:06,0.508299618,0.491700382,42537,0.3729225,0.6270775,42555.32,0.527396724,0.472603276,42554.02,0.48476361,0.51523639,42550,,,,,,,,,,,,
2022/2/7 19:40:15,0.504481145,0.495518855,42536.5,0.307887694,0.692112306,42557.84,0.536461984,0.463538016,42554.02,0.425581303,0.574418697,42550,,,,,,,,,,,,
2022/2/7 19:40:23,0.481545719,0.518454281,42537,0.670175826,0.329824174,42553.01,0.44413658,0.55586342,42554.02,0.307509204,0.692490796,42550,,,,,,,,,,,,
2022/2/7 19:40:31,0.550453866,0.449546134,42536.5,0.817991411,0.182008589,42551.87,0.486452718,0.513547282,42554.02,0.412990916,0.587009084,42550,,,,,,,,,,,,
2022/2/7 19:40:40,0.500882252,0.499117748,42536.5,0.146796254,0.853203746,42557.9,0.46544816,0.53455184,42554.02,0.360339394,0.639660606,42550,,,,,,,,,,,,
2022/2/7 19:40:48,0.148498783,0.851501217,42537,0.832144685,0.167855315,42569.73,0.302880158,0.697119842,42577.16,0.534340445,0.465659555,42574,,,,,,,,,,,,
2022/2/7 19:40:56,0.706908347,0.293091653,42556,0.427681766,0.572318234,42566.98,0.405010339,0.594989661,42573.07,0.54765333,0.45234667,42572,,,,,,,,,,,,
2022/2/7 19:41:05,0.755171762,0.244828238,42556.5,0.794056128,0.205943872,42573.26,0.546608937,0.453391063,42576.45,0.370275916,0.629724084,42572,,,,,,,,,,,,
2022/2/7 19:41:13,0.747674566,0.252325434,42556.5,0.141193638,0.858806362,42570,0.514863853,0.485136147,42571.27,0.348090786,0.651909214,42572,,,,,,,,,,,,
2022/2/7 19:41:21,0.730851918,0.269148082,42556,0.681699443,0.318300557,42572.55,0.543218078,0.456781922,42571.27,0.437058292,0.562941708,42572,,,,,,,,,,,,
2022/2/7 19:41:29,0.707856278,0.292143722,42556.5,0.408236582,0.591763418,42573.67,0.464996031,0.535003969,42571.27,0.426839183,0.573160817,42567,,,,,,,,,,,,
2022/2/7 19:41:38,0.709718574,0.290281426,42556,0.481538655,0.518461345,42572.79,0.539508548,0.460491452,42571.27,0.506521811,0.493478189,42572,,,,,,,,,,,,
2022/2/7 19:41:46,0.653412574,0.346587426,42556,0.336991358,0.663008642,42574.47,0.586868634,0.413131366,42571.27,0.597891125,0.402108875,42572,,,,,,,,,,,,
2022/2/7 19:41:54,0.282684019,0.717315981,42556,0.265150876,0.734849124,42585.71,0.412930809,0.587069191,42571.27,0.522952977,0.477047023,42588,,,,,,,,,,,,
2022/2/7 19:42:02,0.051880908,0.948119092,42556.5,0.366405168,0.633594832,42595.62,0.456481678,0.543518322,42571.27,0.299180837,0.700819163,42592,,,,,,,,,,,,
2022/2/7 19:42:10,0.489340375,0.510659625,42579.5,0.144879363,0.855120637,42599.68,0.506919081,0.493080919,42571.27,0.281819661,0.718180339,42600,,,,,,,,,,,,
2022/2/7 19:42:18,0.455337956,0.544662044,42579.5,0.254218341,0.745781659,42606.28,0.468807188,0.531192812,42571.27,0.212461668,0.787538332,42599,,,,,,,,,,,,
2022/2/7 19:42:27,0.159675446,0.840324554,42579.5,0.541956346,0.458043654,42600.07,0.600903112,0.399096888,42606.42,0.243526196,0.756473804,42610,,,,,,,,,,,,
2022/2/7 19:42:35,0.258119672,0.741880328,42590,0.811141987,0.188858013,42605.51,0.420152135,0.579847865,42610.78,0.36242701,0.63757299,42595,,,,,,,,,,,,
2022/2/7 19:42:43,0.627550735,0.372449265,42589.5,0.706771229,0.293228771,42590.02,0.44814487,0.55185513,42610.78,0.413676542,0.586323458,42597,,,,,,,,,,,,
2022/2/7 19:42:51,0.699899551,0.300100449,42579,0.300589094,0.699410906,42587.81,0.447788882,0.552211118,42610.78,0.422808867,0.577191133,42585,,,,,,,,,,,,
2022/2/7 19:43:00,0.605424926,0.394575074,42579.5,0.445776992,0.554223008,42593.26,0.473672185,0.526327815,42592.51,0.357936996,0.642063004,42592,,,,,,,,,,,,
2022/2/7 19:43:08,0.466515195,0.533484805,42579,0.637582059,0.362417941,42600.84,0.542780661,0.457219339,42592.51,0.59393559,0.40606441,42594,,,,,,,,,,,,
2022/2/7 19:43:16,0.608972359,0.391027641,42579.5,0.142195516,0.857804484,42590.14,0.528955584,0.471044416,42592.51,0.597128728,0.402871272,42592,,,,,,,,,,,,
2022/2/7 19:43:25,0.625882478,0.374117522,42579,0.793375832,0.206624168,42586,0.530977751,0.469022249,42592.51,0.687150215,0.312849785,42587,,,,,,,,,,,,
2022/2/7 19:43:33,0.611379819,0.388620181,42566.5,0.942091538,0.057908462,42580,0.554601914,0.445398086,42586.31,0.660987868,0.339012132,42578,,,,,,,,,,,,
2022/2/7 19:43:42,0.700377058,0.299622942,42566.5,0.831032674,0.168967326,42577.18,0.359316066,0.640683934,42577.95,0.593985902,0.406014098,42579,,,,,,,,,,,,
2022/2/7 19:43:50,0.70389316,0.29610684,42566.5,0.896399151,0.103600849,42580.8,0.477042428,0.522957572,42577.95,0.582160123,0.417839877,42579,,,,,,,,,,,,
2022/2/7 19:43:59,0.697674253,0.302325747,42567,0.905687778,0.094312222,42580.7,0.484274201,0.515725799,42582.19,0.644517345,0.355482655,42579,,,,,,,,,,,,
2022/2/7 19:44:07,0.666195531,0.333804469,42567,0.763711753,0.236288247,42580.83,0.29676798,0.70323202,42582.19,0.549291173,0.450708827,42578,,,,,,,,,,,,
2022/2/7 19:44:16,0.668135894,0.331864106,42566.5,0.23368141,0.76631859,42582.79,0.506291577,0.493708423,42582.19,0.496862146,0.503137854,42577,,,,,,,,,,,,
